model,hidden_layer_sizes,activation,solver,alpha,precision_score,recall_score,f1_score,roc_auc_score
MLPClassifier,"(70, 20, 45, 10)",logistic,adam,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7919799498746868
MLPClassifier,"(70, 20, 45, 10)",logistic,adam,0.1,0.0,0.0,0.0,0.07268170426065164
MLPClassifier,"(70, 20, 45, 10)",logistic,adam,1.0,0.05,1.0,0.09523809523809523,0.5
MLPClassifier,"(70, 20, 45, 10)",logistic,sgd,1e-05,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.6917293233082707
MLPClassifier,"(70, 20, 45, 10)",logistic,sgd,0.0001,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.6917293233082707
MLPClassifier,"(70, 20, 45, 10)",logistic,sgd,0.001,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.6917293233082707
MLPClassifier,"(70, 20, 45, 10)",logistic,sgd,0.01,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.6917293233082707
MLPClassifier,"(70, 20, 45, 10)",logistic,sgd,0.1,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.6942355889724311
MLPClassifier,"(70, 20, 45, 10)",logistic,sgd,1.0,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.8922305764411028
MLPClassifier,"(70, 20, 45, 10)",logistic,lbfgs,1e-05,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.6716791979949874
MLPClassifier,"(70, 20, 45, 10)",logistic,lbfgs,0.0001,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.6716791979949874
MLPClassifier,"(70, 20, 45, 10)",logistic,lbfgs,0.001,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.6716791979949874
MLPClassifier,"(70, 20, 45, 10)",logistic,lbfgs,0.01,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.6716791979949874
MLPClassifier,"(70, 20, 45, 10)",logistic,lbfgs,0.1,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.6716791979949874
MLPClassifier,"(70, 20, 45, 10)",logistic,lbfgs,1.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.6716791979949874
MLPClassifier,"(70, 20, 45, 10)",identity,adam,1e-05,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
MLPClassifier,"(70, 20, 45, 10)",identity,adam,0.0001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
MLPClassifier,"(70, 20, 45, 10)",identity,adam,0.001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
MLPClassifier,"(70, 20, 45, 10)",identity,adam,0.01,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(70, 20, 45, 10)",identity,adam,0.1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.924812030075188
MLPClassifier,"(70, 20, 45, 10)",identity,adam,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9273182957393484
MLPClassifier,"(70, 20, 45, 10)",identity,sgd,1e-05,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
MLPClassifier,"(70, 20, 45, 10)",identity,sgd,0.0001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
MLPClassifier,"(70, 20, 45, 10)",identity,sgd,0.001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
MLPClassifier,"(70, 20, 45, 10)",identity,sgd,0.01,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9348370927318296
MLPClassifier,"(70, 20, 45, 10)",identity,sgd,0.1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
MLPClassifier,"(70, 20, 45, 10)",identity,sgd,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
MLPClassifier,"(70, 20, 45, 10)",identity,lbfgs,1e-05,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(70, 20, 45, 10)",identity,lbfgs,0.0001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(70, 20, 45, 10)",identity,lbfgs,0.001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(70, 20, 45, 10)",identity,lbfgs,0.01,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(70, 20, 45, 10)",identity,lbfgs,0.1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(70, 20, 45, 10)",identity,lbfgs,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
